xlsx_city,xlsx_town,xlsx_admin_village,blocked_count
梅州,粤砂田镇,荐坪行政村,4
梅州,超全岐岭镇,鲁占行政村,4
汕头,义英社区,华桥行政村,4
汕头,隆都镇,上西行政村,4
汕尾,东坑镇,高树坪行政村,4
汕尾,南塘镇,新河行政村,4
汕尾,博美社区,溪行政村,4
汕尾,博美社区,红下行政村,4
汕尾,大安镇,堂贝行政村,4
汕尾,大安镇,翰田行政村,4
汕尾,联安镇,学头行政村,4
汕尾,西南镇,石艮行政村,4
汕尾,金厢镇,大宫行政村,4
江门,君堂镇,沙冈行政村,4
江门,外海街道,四大社区,4
江门,恩城街道,西门社区,4
江门,恩城街道,青云社区,4
河源,全曾田镇,下漆行政村,4
河源,全曾田镇,仙湖行政村,4
河源,全曾田镇,冼村行政村,4
河源,全曾田镇,新民行政村,4
河源,凤安镇,吉田行政村,4
河源,凤安镇,高尚行政村,4
河源,新回龙镇,日光行政村,4
河源,涧头镇,礫娥行政村,4
河源,紫城镇,上黄塘行政村,4
河源,紫城镇,中兴行政村,4
河源,紫城镇,华星行政村,4
河源,紫城镇,均安行政村,4
河源,紫城镇,大鲁行政村,4
河源,紫城镇,安全行政村,4
河源,紫城镇,嶂拔行政村,4
河源,紫城镇,拱桥行政村,4
河源,紫城镇,曹坑行政村,4
河源,紫城镇,桥田行政村,4
河源,紫城镇,澄田行政村,4
河源,紫城镇,群星行政村,4
河源,紫城镇,联光行政村,4
河源,紫城镇,良洞行政村,4
河源,紫城镇,车前行政村,4
河源,紫城镇,长岌行政村,4
清远,大崑镇,大坳行政村,4
清远,大崑镇,大崑行政村,4
清远,大路边镇,东联行政村,4
清远,英红镇,云岭社区,4
湛江,全长山镇,石湾行政村,4
湛江,全长岐镇,鉴东行政村,4
湛江,前山镇,小苏行政村,4
湛江,南三社区,南三社区,4
湛江,唐家镇,斗六行政村,4
湛江,唐家镇,潭葛行政村,4
湛江,唐家镇,金竹行政村,4
湛江,城月镇,坑仔行政村,4
湛江,塘蓬镇,大垭行政村,4
湛江,官渡镇,山嘴行政村,4
湛江,洋糖社区,外坡行政村,4
湛江,洋青镇,田头湾行政村,4
湛江,海东社区,海东社区,4
湛江,白沙社区,坑仔行政村,4
湛江,西街,沙角旋行政村,4
湛江,西连镇,下寮仔行政村,4
湛江,西连镇,北注行政村,4
湛江,超全南山镇,加乐园行政村,4
湛江,超全南山镇,后坡寮行政村,4
湛江,黄坡镇,南巢行政村,4
湛江,龙安社区,龙安社区,4
潮州,凤塘镇,粪畔行政村,4
潮州,归湖镇,曾厝行政村,4
潮州,归湖镇,铁炉坪行政村,4
肇庆,凤岗镇,欧上行政村,4
肇庆,凤村镇,宝坪行政村,4
肇庆,坳仔镇,车福行政村,4
肇庆,城东街道,工农社区,4
肇庆,大湾镇,上围行政村,4
肇庆,大湾镇,汉塘行政村,4
肇庆,桂城街道,塘口社区,4
肇庆,桂城街道,院主二社区,4
肇庆,桂城街道,龙头社区,4
肇庆,永安镇,苍南行政村,4
肇庆,江谷镇,一村社区,4
肇庆,金利镇,小塱社区,4
茂名,岭门镇,夏蓝行政村,4
茂名,朱砂镇,燕埔行政村,4
茂名,潘州街道,山美街道云径行政村,4
茂名,潭头镇,大垃行政村,4
茂名,站前街道,新福社区,4
