xlsx_city,xlsx_town,xlsx_admin_village,blocked_count
茂名,金马贵镇,堤桐行政村,12
阳江,岗列街道,岗列行政村,12
阳江,春城街道,牛肚行政村,12
阳江,河镇,新阳行政村,12
韶关,周田镇,较坑行政村,12
韶关,实票区,城群行政村,12
韶关,长江镇,河田行政村,12
韶关,长江镇,高洞行政村,12
云浮,南盛镇,视岭行政村,11
云浮,嘴粤桂圩镇,木行政村,11
云浮,金鸡镇,大桐行政村,11
云浮,高村镇,葵洞行政村,11
广州,横江社区,东星行政村,11
江门,君堂镇,藜塘行政村,11
江门,四九镇,松荫行政村,11
江门,赤水镇,泣溪行政村,11
河源,新回龙镇,鹊田行政村,11
清远,上帅镇,香寮行政村,11
清远,全浸潭镇,龙须带水库移民行政村,11
清远,大湾镇,垮脚行政村,11
湛江,下桥镇,下桥行政村,11
湛江,东简街道,中和行政村,11
湛江,全覃巴镇,双塘行政村,11
湛江,全覃巴镇,杨梅行政村,11
湛江,全长山镇,横江坡行政村,11
湛江,全长岐镇,多曹行政村,11
湛江,前山镇,龙江塘行政村,11
湛江,石角镇,山腰行政村,11
湛江,西街,那郭垌行政村,11
湛江,超全南山镇,桃园行政村,11
湛江,超全塘瑷镇,西埔行政村,11
潮州,饶洋镇,赤棠行政村,11
肇庆,下茆镇,高崑行政村,11
肇庆,南丰镇,汶塘行政村,11
肇庆,大沙镇,陈冲行政村,11
肇庆,河儿口镇,双视行政村,11
茂名,东岸镇,方桐行政村,11
茂名,宝光街道,金竹山行政村,11
茂名,宝圩镇,仓板行政村,11
茂名,宝圩镇,龙蜗行政村,11
茂名,新坡镇,新坡行政村,11
茂名,新安镇,山埽行政村,11
茂名,新桐镇,凤坑行政村,11
茂名,林尘镇,下塱行政村,11
茂名,长坡镇,黄姜坡行政村,11
阳江,双滘镇,七星行政村,11
阳江,河口镇,梅桐行政村,11
阳江,河镇,凌霄行政村,11
阳江,闸坡镇,前元行政村,11
阳江,马水镇,石菉行政村,11
韶关,丹霞街道,五一行政村,11
韶关,古市镇,丹布行政村,11
韶关,扶溪镇,蛇离行政村,11
韶关,秀水镇,云岩行政村,11
韶关,粤石塘镇,上中坌行政村,11
韶关,长江镇,浒松行政村,11
云浮,分界镇,金桐行政村,10
云浮,连州镇,蒲桐行政村,10
云浮,都城镇,榄塘行政村,10
惠州,黄埠镇,大园行政村,10
惠州,黄埠镇,赤砂行政村,10
惠州,龙潭镇,石圩行政村,10
梅州,全光德镇,雷峰行政村,10
河源,凤安镇,双全行政村,10
清远,大崑镇,五元行政村,10
清远,大崑镇,炉田行政村,10
清远,小三江镇,太平行政村,10
清远,粤石潭镇,大围行政村,10
清远,英红镇,红卫社区,10
清远,雪西牛镇,五石行政村,10
清远,雪西牛镇,仙蕉坑行政村,10
清远,雪西牛镇,桥头社区,10
清远,龙颈镇,怖田行政村,10
湛江,乌塘镇,浩发行政村,10
湛江,全覃巴镇,石碧行政村,10
湛江,全长山镇,六凤行政村,10
湛江,前山镇,姑村行政村,10
湛江,石角镇,田头行政村,10
肇庆,大湾镇,杨梅行政村,10
肇庆,水南镇,双波行政村,10
肇庆,赤坑镇,旺洞行政村,10
茂名,全镇江镇,日久冲行政村,10
茂名,嘴質桥镇,良埔行政村,10
茂名,嘴質桥镇,西埽行政村,10
茂名,大坡镇,良桐行政村,10
茂名,宝光街道,米塘行政村,10
茂名,新坡镇,文冲口行政村,10
茂名,潘州街道,同进行政村,10
茂名,潘州街道,山美行政村,10
茂名,荷塘镇,那鸾行政村,10
阳江,合水镇,营讯行政村,10
阳江,城北街道,坪郊行政村,10
阳江,岗美镇,轮岗行政村,10
阳江,河镇,大竹行政村,10
韶关,丹霞街道,坪岗行政村,10
韶关,丹霞街道,董中行政村,10
韶关,丹霞街道,黄屋行政村,10
韶关,乌石镇,濛锂行政村,10
韶关,周田镇,台滩行政村,10
韶关,周田镇,灵溪行政村,10
韶关,水口镇,篛过行政村,10
韶关,珠玑镇,祇芫行政村,10
韶关,长江镇,沙坪行政村,10
韶关,雪红山镇,新山行政村,10
云浮,南盛镇,大视行政村,9
广州,钟落潭镇,泣湖行政村,9
惠州,平海镇,油蒜园行政村,9
惠州,陈江街道,平南社区,9
江门,君堂镇,杨屋行政村,9
河源,全曾田镇,万和行政村,9
河源,全曾田镇,三洞行政村,9
河源,全曾田镇,祝岗行政村,9
清远,大路边镇,寒鸭行政村,9
清远,小三江镇,新联行政村,9
清远,小三江镇,读楼行政村,9
清远,粤石潭镇,大洛行政村,9
湛江,东简街道,丹僚行政村,9
湛江,东简街道,新安行政村,9
湛江,东简街道,龙湾行政村,9
湛江,全长山镇,佳场行政村,9
湛江,全长山镇,塘拱行政村,9
湛江,全长山镇,塘肚行政村,9
湛江,官渡镇,东岸行政村,9
湛江,西街,新埂行政村,9
湛江,超全南山镇,头铺行政村,9
湛江,黄坡镇,三浪行政村,9
