xlsx_row_number,xlsx_city,xlsx_town,xlsx_admin_village,xlsx_natural_village,matched_db_city,matched_db_town,matched_db_admin_village,matched_db_admin_village_candidates,candidate_count,candidates,suggested_candidates,blocked_reason_guess
35427,中山,大涌镇,大布行政村,沙岗村,中山市,大涌镇,,,0,,,admin_unmatched_or_ambiguous
35405,中山,大涌镇,大涌社区,大涌村,中山市,大涌镇,,,0,,,admin_unmatched_or_ambiguous
35407,中山,大涌镇,安堂社区,安堂村,中山市,大涌镇,,,0,,,admin_unmatched_or_ambiguous
35418,中山,大涌镇,岗泉行政村,泉眼村,中山市,大涌镇,,,0,,,admin_unmatched_or_ambiguous
35419,中山,大涌镇,岗泉行政村,鸦岗村,中山市,大涌镇,,,0,,,admin_unmatched_or_ambiguous
35425,中山,大涌镇,平南行政村,平南村,中山市,大涌镇,,,0,,,admin_unmatched_or_ambiguous
35424,中山,大涌镇,平岚东行政村,平东村,中山市,大涌镇,,,0,,,admin_unmatched_or_ambiguous
35420,中山,大涌镇,新圩行政村,新圩村,中山市,大涌镇,,,0,,,admin_unmatched_or_ambiguous
35417,中山,大涌镇,桥头行政村,桥头村,中山市,大涌镇,,,0,,,admin_unmatched_or_ambiguous
35410,中山,大涌镇,石井社区,石井村,中山市,大涌镇,,,0,,,admin_unmatched_or_ambiguous
35421,中山,大涌镇,芋湾行政村,茅湾村,中山市,大涌镇,,,0,,,admin_unmatched_or_ambiguous
35437,中山,大涌镇,西山社区,外埔村,中山市,大涌镇,,,0,,,admin_unmatched_or_ambiguous
35439,中山,大涌镇,西山社区,西山村,中山市,大涌镇,,,0,,,admin_unmatched_or_ambiguous
35438,中山,大涌镇,西山社区,里埔村,中山市,大涌镇,,,0,,,admin_unmatched_or_ambiguous
35413,中山,大涌镇,起凤环社区,起凤环村,中山市,大涌镇,,,0,,,admin_unmatched_or_ambiguous
35422,中山,大涌镇,雍陌行政村,雍陌村,中山市,大涌镇,,,0,,,admin_unmatched_or_ambiguous
35214,中山,子黄圃镇,三社社区,三社坊,中山市,黄圃镇,,,0,,,admin_unmatched_or_ambiguous
35213,中山,子黄圃镇,三社社区,灵会坊,中山市,黄圃镇,,,0,,,admin_unmatched_or_ambiguous
35212,中山,子黄圃镇,三社社区,鼓楼坊,中山市,黄圃镇,,,0,,,admin_unmatched_or_ambiguous
35378,中山,小榄镇,新市社区,新市村,中山市,小榄镇,,,0,,,admin_unmatched_or_ambiguous
35287,中山,石岐街道,博爱社区,老安山村,中山市,石岐区街道,,,0,,,admin_unmatched_or_ambiguous
35282,中山,石岐街道,大信社区,基边村,中山市,石岐区街道,,,0,,,admin_unmatched_or_ambiguous
35283,中山,石岐街道,湖滨社区,天门村,中山市,石岐区街道,,,0,,,admin_unmatched_or_ambiguous
22634,云浮,东坝镇,沙冲行政村,上坪村,云浮市,东坝镇,,,0,,,admin_unmatched_or_ambiguous
22635,云浮,东坝镇,沙冲行政村,下坪村,云浮市,东坝镇,,,0,,,admin_unmatched_or_ambiguous
22631,云浮,东坝镇,沙冲行政村,冬瓜塘村,云浮市,东坝镇,,,0,,,admin_unmatched_or_ambiguous
22633,云浮,东坝镇,沙冲行政村,沙埽村,云浮市,东坝镇,,,0,,,admin_unmatched_or_ambiguous
22632,云浮,东坝镇,沙冲行政村,郊乐村,云浮市,东坝镇,,,0,,,admin_unmatched_or_ambiguous
21117,云浮,云城街道,南山社区,藕塘村,云浮市,云城街道,,,0,,,admin_unmatched_or_ambiguous
21210,云浮,云城街道,大塱行政村,下哈水村,云浮市,云城街道,,,0,,,admin_unmatched_or_ambiguous
21212,云浮,云城街道,大塱行政村,井岗围村,云浮市,云城街道,,,0,,,admin_unmatched_or_ambiguous
21215,云浮,云城街道,大塱行政村,低塘村,云浮市,云城街道,,,0,,,admin_unmatched_or_ambiguous
21213,云浮,云城街道,大塱行政村,大汉岗村,云浮市,云城街道,,,0,,,admin_unmatched_or_ambiguous
21214,云浮,云城街道,大塱行政村,邹谭村,云浮市,云城街道,,,0,,,admin_unmatched_or_ambiguous
21211,云浮,云城街道,大塱行政村,郭屋村,云浮市,云城街道,,,0,,,admin_unmatched_or_ambiguous
21118,云浮,云城街道,天马社区,上洞村,云浮市,云城街道,,,0,,,admin_unmatched_or_ambiguous
21119,云浮,云城街道,天马社区,船塘村,云浮市,云城街道,,,0,,,admin_unmatched_or_ambiguous
21120,云浮,云城街道,天马社区,西围村,云浮市,云城街道,,,0,,,admin_unmatched_or_ambiguous
21100,云浮,云城街道,星岩社区,罗斗岗村,云浮市,云城街道,,,0,,,admin_unmatched_or_ambiguous
21116,云浮,云城街道,玉屏社区,城里底村,云浮市,云城街道,,,0,,,admin_unmatched_or_ambiguous
21115,云浮,云城街道,玉屏社区,江屋村,云浮市,云城街道,,,0,,,admin_unmatched_or_ambiguous
21114,云浮,云城街道,玉屏社区,清水塘村,云浮市,云城街道,,,0,,,admin_unmatched_or_ambiguous
21113,云浮,云城街道,育华社区,刘屋村,云浮市,云城街道,,,0,,,admin_unmatched_or_ambiguous
21110,云浮,云城街道,育华社区,区屋村,云浮市,云城街道,,,0,,,admin_unmatched_or_ambiguous
21112,云浮,云城街道,育华社区,叶屋村,云浮市,云城街道,,,0,,,admin_unmatched_or_ambiguous
21111,云浮,云城街道,育华社区,白屋村,云浮市,云城街道,,,0,,,admin_unmatched_or_ambiguous
21109,云浮,云城街道,育华社区,谢屋村,云浮市,云城街道,,,0,,,admin_unmatched_or_ambiguous
21099,云浮,云城街道,蟠龙社区,山川坛村,云浮市,云城街道,,,0,,,admin_unmatched_or_ambiguous
21098,云浮,云城街道,蟠龙社区,栏田村,云浮市,云城街道,,,0,,,admin_unmatched_or_ambiguous
21097,云浮,云城街道,蟠龙社区,罗屋塘村,云浮市,云城街道,,,0,,,admin_unmatched_or_ambiguous
21096,云浮,云城街道,蟠龙社区,翠石村,云浮市,云城街道,,,0,,,admin_unmatched_or_ambiguous
21095,云浮,云城街道,金龙社区,下谭村,云浮市,云城街道,,,0,,,admin_unmatched_or_ambiguous
21102,云浮,云城街道,马坪社区,上谭村,云浮市,云城街道,,,0,,,admin_unmatched_or_ambiguous
21105,云浮,云城街道,马坪社区,唐屋村,云浮市,云城街道,,,0,,,admin_unmatched_or_ambiguous
21103,云浮,云城街道,马坪社区,廖屋村,云浮市,云城街道,,,0,,,admin_unmatched_or_ambiguous
21104,云浮,云城街道,马坪社区,禪屋村,云浮市,云城街道,,,0,,,admin_unmatched_or_ambiguous
21101,云浮,云城街道,马坪社区,陈屋村,云浮市,云城街道,,,0,,,admin_unmatched_or_ambiguous
21106,云浮,云城街道,马岗社区,怡昌村,云浮市,云城街道,,,0,,,admin_unmatched_or_ambiguous
21107,云浮,云城街道,马岗社区,朱屋村,云浮市,云城街道,,,0,,,admin_unmatched_or_ambiguous
21108,云浮,云城街道,马岗社区,沙地村,云浮市,云城街道,,,0,,,admin_unmatched_or_ambiguous
17101,云浮,分界镇,金桐行政村,上寨村,云浮市,分界镇,,,0,,,admin_unmatched_or_ambiguous
17102,云浮,分界镇,金桐行政村,下寨村,云浮市,分界镇,,,0,,,admin_unmatched_or_ambiguous
17095,云浮,分界镇,金桐行政村,大岭村,云浮市,分界镇,,,0,,,admin_unmatched_or_ambiguous
17096,云浮,分界镇,金桐行政村,大岭脚村,云浮市,分界镇,,,0,,,admin_unmatched_or_ambiguous
17094,云浮,分界镇,金桐行政村,大菜园村,云浮市,分界镇,,,0,,,admin_unmatched_or_ambiguous
17099,云浮,分界镇,金桐行政村,岭头村,云浮市,分界镇,,,0,,,admin_unmatched_or_ambiguous
17103,云浮,分界镇,金桐行政村,朱砂角村,云浮市,分界镇,,,0,,,admin_unmatched_or_ambiguous
17100,云浮,分界镇,金桐行政村,落函田村,云浮市,分界镇,,,0,,,admin_unmatched_or_ambiguous
17098,云浮,分界镇,金桐行政村,金狮僻村,云浮市,分界镇,,,0,,,admin_unmatched_or_ambiguous
17097,云浮,分界镇,金桐行政村,高坡村,云浮市,分界镇,,,0,,,admin_unmatched_or_ambiguous
21027,云浮,前锋镇,楚蓬行政村,上迳村,云浮市,前锋镇,,,0,,,admin_unmatched_or_ambiguous
21026,云浮,前锋镇,楚蓬行政村,大塘坑村,云浮市,前锋镇,,,0,,,admin_unmatched_or_ambiguous
21025,云浮,前锋镇,楚蓬行政村,大江村,云浮市,前锋镇,,,0,,,admin_unmatched_or_ambiguous
21030,云浮,前锋镇,楚蓬行政村,小带村,云浮市,前锋镇,,,0,,,admin_unmatched_or_ambiguous
21028,云浮,前锋镇,楚蓬行政村,梦窦村,云浮市,前锋镇,,,0,,,admin_unmatched_or_ambiguous
21029,云浮,前锋镇,楚蓬行政村,蓬村,云浮市,前锋镇,,,0,,,admin_unmatched_or_ambiguous
18922,云浮,加益镇,加益社区,圩头村,云浮市,加益镇,,,0,,,admin_unmatched_or_ambiguous
18923,云浮,加益镇,加益社区,圩尾村,云浮市,加益镇,,,0,,,admin_unmatched_or_ambiguous
18961,云浮,加益镇,排阜行政村,东风村,云浮市,加益镇,,,0,,,admin_unmatched_or_ambiguous
18954,云浮,加益镇,排阜行政村,五华村,云浮市,加益镇,,,0,,,admin_unmatched_or_ambiguous
18962,云浮,加益镇,排阜行政村,向前村,云浮市,加益镇,,,0,,,admin_unmatched_or_ambiguous
18960,云浮,加益镇,排阜行政村,向阳村,云浮市,加益镇,,,0,,,admin_unmatched_or_ambiguous
18965,云浮,加益镇,排阜行政村,四维坑村,云浮市,加益镇,,,0,,,admin_unmatched_or_ambiguous
18957,云浮,加益镇,排阜行政村,扶旺村,云浮市,加益镇,,,0,,,admin_unmatched_or_ambiguous
18958,云浮,加益镇,排阜行政村,新寨村,云浮市,加益镇,,,0,,,admin_unmatched_or_ambiguous
18963,云浮,加益镇,排阜行政村,新湾村,云浮市,加益镇,,,0,,,admin_unmatched_or_ambiguous
18955,云浮,加益镇,排阜行政村,旺英坑村,云浮市,加益镇,,,0,,,admin_unmatched_or_ambiguous
18964,云浮,加益镇,排阜行政村,湾队村,云浮市,加益镇,,,0,,,admin_unmatched_or_ambiguous
18959,云浮,加益镇,排阜行政村,红丰村,云浮市,加益镇,,,0,,,admin_unmatched_or_ambiguous
18956,云浮,加益镇,排阜行政村,红光村,云浮市,加益镇,,,0,,,admin_unmatched_or_ambiguous
18953,云浮,加益镇,排阜行政村,红旗村,云浮市,加益镇,,,0,,,admin_unmatched_or_ambiguous
21900,云浮,千官镇,塱济行政村,三级村,云浮市,千官镇,,,0,,,admin_unmatched_or_ambiguous
21884,云浮,千官镇,塱济行政村,九分村,云浮市,千官镇,,,0,,,admin_unmatched_or_ambiguous
21885,云浮,千官镇,塱济行政村,伟塘村,云浮市,千官镇,,,0,,,admin_unmatched_or_ambiguous
21898,云浮,千官镇,塱济行政村,倒流坑村,云浮市,千官镇,,,0,,,admin_unmatched_or_ambiguous
21896,云浮,千官镇,塱济行政村,十二灶村,云浮市,千官镇,,,0,,,admin_unmatched_or_ambiguous
21903,云浮,千官镇,塱济行政村,单竹坑村,云浮市,千官镇,,,0,,,admin_unmatched_or_ambiguous
21904,云浮,千官镇,塱济行政村,大榄坑村,云浮市,千官镇,,,0,,,admin_unmatched_or_ambiguous
21887,云浮,千官镇,塱济行政村,广才村,云浮市,千官镇,,,0,,,admin_unmatched_or_ambiguous
21892,云浮,千官镇,塱济行政村,张屋村,云浮市,千官镇,,,0,,,admin_unmatched_or_ambiguous
21906,云浮,千官镇,塱济行政村,才众坑村,云浮市,千官镇,,,0,,,admin_unmatched_or_ambiguous
21895,云浮,千官镇,塱济行政村,文郁村,云浮市,千官镇,,,0,,,admin_unmatched_or_ambiguous
21890,云浮,千官镇,塱济行政村,斩船坑村,云浮市,千官镇,,,0,,,admin_unmatched_or_ambiguous
21905,云浮,千官镇,塱济行政村,新担塘村,云浮市,千官镇,,,0,,,admin_unmatched_or_ambiguous
21902,云浮,千官镇,塱济行政村,木丫村,云浮市,千官镇,,,0,,,admin_unmatched_or_ambiguous
21891,云浮,千官镇,塱济行政村,林屋村,云浮市,千官镇,,,0,,,admin_unmatched_or_ambiguous
21899,云浮,千官镇,塱济行政村,森木坑村,云浮市,千官镇,,,0,,,admin_unmatched_or_ambiguous
21893,云浮,千官镇,塱济行政村,深塘村,云浮市,千官镇,,,0,,,admin_unmatched_or_ambiguous
21901,云浮,千官镇,塱济行政村,牛屎埂村,云浮市,千官镇,,,0,,,admin_unmatched_or_ambiguous
21897,云浮,千官镇,塱济行政村,禾唛顶村,云浮市,千官镇,,,0,,,admin_unmatched_or_ambiguous
21894,云浮,千官镇,塱济行政村,聋坑村,云浮市,千官镇,,,0,,,admin_unmatched_or_ambiguous
21883,云浮,千官镇,塱济行政村,茶根村,云浮市,千官镇,,,0,,,admin_unmatched_or_ambiguous
21889,云浮,千官镇,塱济行政村,荷木根村,云浮市,千官镇,,,0,,,admin_unmatched_or_ambiguous
21907,云浮,千官镇,塱济行政村,豆腐头村,云浮市,千官镇,,,0,,,admin_unmatched_or_ambiguous
21886,云浮,千官镇,塱济行政村,长坑尾村,云浮市,千官镇,,,0,,,admin_unmatched_or_ambiguous
21888,云浮,千官镇,塱济行政村,高长坑村,云浮市,千官镇,,,0,,,admin_unmatched_or_ambiguous
22814,云浮,南江口镇,双冲行政村,上桐村,云浮市,南江口镇,,,0,,,admin_unmatched_or_ambiguous
22816,云浮,南江口镇,双冲行政村,中垌村,云浮市,南江口镇,,,0,,,admin_unmatched_or_ambiguous
22815,云浮,南江口镇,双冲行政村,信地村,云浮市,南江口镇,,,0,,,admin_unmatched_or_ambiguous
22822,云浮,南江口镇,双冲行政村,双冲寨村,云浮市,南江口镇,,,0,,,admin_unmatched_or_ambiguous
22821,云浮,南江口镇,双冲行政村,坑口村,云浮市,南江口镇,,,0,,,admin_unmatched_or_ambiguous
22813,云浮,南江口镇,双冲行政村,坑更村,云浮市,南江口镇,,,0,,,admin_unmatched_or_ambiguous
22812,云浮,南江口镇,双冲行政村,大坪村,云浮市,南江口镇,,,0,,,admin_unmatched_or_ambiguous
22824,云浮,南江口镇,双冲行政村,新注村,云浮市,南江口镇,,,0,,,admin_unmatched_or_ambiguous
22817,云浮,南江口镇,双冲行政村,昔铜村,云浮市,南江口镇,,,0,,,admin_unmatched_or_ambiguous
22823,云浮,南江口镇,双冲行政村,沙街村,云浮市,南江口镇,,,0,,,admin_unmatched_or_ambiguous
22818,云浮,南江口镇,双冲行政村,竹树根村,云浮市,南江口镇,,,0,,,admin_unmatched_or_ambiguous
22820,云浮,南江口镇,双冲行政村,英咀村,云浮市,南江口镇,,,0,,,admin_unmatched_or_ambiguous
