dialect_raw,raw_count,matched_rowid_count,suggestion_type,suggested_final_write_value,suggested_final_count,family_mix,subgroup_mix,clean_confidence_mix,candidate_final_values
粤方言、怀集诗洞标话,160,107,stable_single_mapping,粤·怀集诗洞标话,160,粤::160,怀集诗洞标话::160,medium::160,粤·怀集诗洞标话::160
粤方言阳春春北白话,160,116,stable_single_mapping,粤,160,粤::160,,high::160,粤::160
粤方言广宁白话,159,122,stable_single_mapping,粤,159,粤::159,,high::159,粤::159
客家话和黄圃话互通,149,128,stable_single_mapping,客家、土话,149,混合::149,黄圃话::149,medium::149,客家、土话::149
闽方言茂南话（黎话）,143,89,stable_single_mapping,闽,143,闽::143,,medium::143,闽::143
潮汕话,140,118,stable_single_mapping,闽·潮汕话,140,闽::140,潮汕话::140,high::140,闽·潮汕话::140
闽南方言饶平潮汕话,138,111,stable_single_mapping,闽·潮汕话,138,闽::138,潮汕话::138,high::138,闽·潮汕话::138
潮汕方言,137,114,stable_single_mapping,闽·潮汕话,137,闽::137,潮汕话::137,high::137,闽·潮汕话::137
客家方言仁化长江话,136,2,stable_single_mapping,客家·仁化长江话,136,客家::136,仁化长江话::136,high::136,客家·仁化长江话::136
客家方言清化话,133,90,stable_single_mapping,客家·清化话,133,客家::133,清化话::133,high::133,客家·清化话::133
粤方言英德附城话,133,68,stable_single_mapping,粤,133,粤::133,,high::133,粤::133
广府民系，通用粤方言,131,99,stable_single_mapping,粤,131,粤::131,,medium::131,粤::131
粤方言怀集上坊话、大岗标话,126,100,stable_single_mapping,粤·怀集上坊话,126,粤::126,怀集上坊话::126,medium::126,粤·怀集上坊话::126
粤方言怀集宁洞话,125,93,stable_single_mapping,粤·怀集宁洞话,125,粤::125,怀集宁洞话::125,high::125,粤·怀集宁洞话::125
粤方言、客家方言,123,94,stable_single_mapping,粤、客家,123,混合::123,,medium::123,粤、客家::123
粤方言和客家方言,123,96,stable_single_mapping,粤、客家,123,混合::123,,medium::123,粤、客家::123
粤方言清远南冲话,121,106,stable_single_mapping,粤,121,粤::121,,high::121,粤::121
广宁话,117,94,stable_single_mapping,粤·广宁话,117,粤::117,广宁话::117,high::117,粤·广宁话::117
客家方言四会地豆话,112,81,stable_single_mapping,客家,112,客家::112,,high::112,客家::112
粤方言吴川吴阳话,110,27,stable_single_mapping,粤,110,粤::110,,high::110,粤::110
粤方言阳春岗美话,110,90,stable_single_mapping,粤,110,粤::110,,high::110,粤::110
粤方言茂南话,103,66,stable_single_mapping,粤,103,粤::103,,high::103,粤::103
通用电白海话,102,96,stable_single_mapping,闽·电白海话,102,闽::102,电白海话::102,medium::102,闽·电白海话::102
通用粤方言（广府民系）,102,77,stable_single_mapping,粤,102,粤::102,,medium::102,粤::102
客家方言黄村话,101,1,stable_single_mapping,客家·黄村话,101,客家::101,黄村话::101,high::101,客家·黄村话::101
客家方言（客家民系）,101,80,stable_single_mapping,客家,101,客家::101,,medium::101,客家::101
粤方言四会江谷话,99,74,stable_single_mapping,粤,99,粤::99,,high::99,粤::99
粤方言高要话（禄步口音）,96,86,stable_single_mapping,粤·高要话,96,粤::96,高要话::96,medium::96,粤·高要话::96
客家方言和粤方言清远白话,95,84,stable_single_mapping,粤、客家,95,混合::95,清远白话::95,medium::95,粤、客家::95
粤方言连山话,95,79,stable_single_mapping,粤,95,粤::95,,high::95,粤::95
粤方言高要话（活道口音）,94,83,stable_single_mapping,粤·高要话,94,粤::94,高要话::94,medium::94,粤·高要话::94
客家方言、粤方言,93,72,stable_single_mapping,粤、客家,93,混合::93,,medium::93,粤、客家::93
客家方言叶潭话,90,51,stable_single_mapping,客家·叶潭话,90,客家::90,叶潭话::90,high::90,客家·叶潭话::90
客家方言英德附城话,88,70,stable_single_mapping,客家,88,客家::88,,high::88,客家::88
粤方言英德黄花话,88,69,stable_single_mapping,粤,88,粤::88,,high::88,粤::88
客家方言四会迳口话,85,62,stable_single_mapping,客家,85,客家::85,,high::85,客家::85
粤方言高要话（金利口音）,84,70,stable_single_mapping,粤·高要话,84,粤::84,高要话::84,medium::84,粤·高要话::84
粤语文德话,83,48,stable_single_mapping,粤,83,粤::83,,high::83,粤::83
粤方言东莞虎门话,80,63,stable_single_mapping,粤,80,粤::80,,high::80,粤::80
粤方言、怀集永固标话,77,47,stable_single_mapping,粤·怀集永固标话,77,粤::77,怀集永固标话::77,medium::77,粤·怀集永固标话::77
粤方言东莞万江话,77,38,stable_single_mapping,粤,77,粤::77,,high::77,粤::77
客家方言蓝口话,76,48,stable_single_mapping,客家·蓝口话,76,客家::76,蓝口话::76,high::76,客家·蓝口话::76
客家方言东莞清溪话,75,48,stable_single_mapping,粤、客家,75,混合::75,东莞清溪话::75,medium::75,粤、客家::75
粤方言高州白话,75,40,stable_single_mapping,粤,75,粤::75,,high::75,粤::75
福佬话,73,61,stable_single_mapping,闽·福佬话,73,闽::73,福佬话::73,high::73,闽·福佬话::73
粤方言东莞厚街话,73,29,stable_single_mapping,粤,73,粤::73,,high::73,粤::73
粤方言加益话,73,58,stable_single_mapping,粤,73,粤::73,,high::73,粤::73
广府民系，粤方言,72,57,stable_single_mapping,粤,72,粤::72,,medium::72,粤::72
粤方言东莞寮步话,71,51,stable_single_mapping,粤,71,粤::71,,high::71,粤::71
粤方言高要话，白诸口音,71,68,stable_single_mapping,粤·高要话,71,粤::71,高要话::71,medium::71,粤·高要话::71
粤方言龙门话,71,57,stable_single_mapping,粤·龙门话,71,粤::71,龙门话::71,high::71,粤·龙门话::71
粤方言英德大湾话,70,46,stable_single_mapping,粤,70,粤::70,,high::70,粤::70
粤方言连州话,70,44,stable_single_mapping,粤·连州话,70,粤::70,连州话::70,high::70,粤·连州话::70
粤方言阳春白话、客家方言阳春倔话,69,60,stable_single_mapping,粤、客家,69,混合::69,阳春白话::69,medium::69,粤、客家::69
客家方言鼎湖话,67,61,stable_single_mapping,粤、客家,67,混合::67,鼎湖话::67,medium::67,粤、客家::67
粤方言东莞塘厦话,67,37,stable_single_mapping,粤,67,粤::67,,high::67,粤::67
使用壮语北部方言连山壮话,66,35,stable_single_mapping,少数民族·连山壮话,66,少数民族::66,连山壮话::66,medium::66,少数民族·连山壮话::66
客家方言四会江谷话,65,44,stable_single_mapping,客家,65,客家::65,,high::65,客家::65
客家方言锡场话,64,49,stable_single_mapping,客家,64,客家::64,,high::64,客家::64
粤方言石岐话,64,35,stable_single_mapping,粤·石岐话,64,粤::64,石岐话::64,high::64,粤·石岐话::64
客家方言始兴罗坝话,63,56,stable_single_mapping,客家,63,客家::63,,high::63,客家::63
使用闽方言,62,51,stable_single_mapping,闽,62,闽::62,,medium::62,闽::62
客家方言、闽方言,62,53,stable_single_mapping,客家、闽,62,混合::62,,medium::62,客家、闽::62
客家方言始兴澄江话,61,51,stable_single_mapping,客家,61,客家::61,,high::61,客家::61
客家方言（属客家民系）,61,51,stable_single_mapping,客家,61,客家::61,,medium::61,客家::61
客家方言新回龙话,60,46,stable_single_mapping,客家,60,客家::60,,high::60,客家::60
客家方言黄田话,58,41,stable_single_mapping,客家,58,客家::58,,high::58,客家::58
客家话和黄圃话能在村民中互通,57,42,stable_single_mapping,客家、土话,57,混合::57,黄圃话::57,medium::57,客家、土话::57
粤方言东莞企石话,57,29,stable_single_mapping,粤,57,粤::57,,high::57,粤::57
客家方言船塘话,56,51,stable_single_mapping,客家,56,客家::56,,high::56,客家::56
闽方言黎话,56,46,stable_single_mapping,闽,56,闽::56,,high::56,闽::56
客家方言义合话,55,43,stable_single_mapping,客家,55,客家::55,,high::55,客家::55
客家方言四会江林话,55,24,stable_single_mapping,客家,55,客家::55,,high::55,客家::55
广府民系，使用粤方言,55,36,stable_single_mapping,粤,55,粤::55,,medium::55,粤::55
粤方言东莞东城话,55,37,stable_single_mapping,粤,55,粤::55,,high::55,粤::55
广府民系，使用粤方言阳春白话,54,47,stable_single_mapping,粤·阳春白话,54,粤::54,阳春白话::54,medium::54,粤·阳春白话::54
粤方言东莞石排话,54,35,stable_single_mapping,粤,54,粤::54,,high::54,粤::54
通用瑶语,53,37,stable_single_mapping,少数民族·瑶语,53,少数民族::53,瑶语::53,medium::53,少数民族·瑶语::53
粤方言催古话,52,36,stable_single_mapping,粤,52,粤::52,,medium::52,粤::52
