matched_db_rowid,final_write_value_by_rowid,component_count,family_count,source_rows,source_value_count,source_values,reason
3959,客家、闽,2,2,1,1,客家、闽,multi_family
3960,客家、闽,2,2,1,1,客家、闽,multi_family
3963,客家、闽,2,2,1,1,客家、闽,multi_family
3964,客家、闽,2,2,1,1,客家、闽,multi_family
3965,客家、闽,2,2,1,1,客家、闽,multi_family
3966,客家、闽,2,2,1,1,客家、闽,multi_family
3969,客家、闽,2,2,1,1,客家、闽,multi_family
3970,客家、闽,2,2,1,1,客家、闽,multi_family
3974,客家、闽,2,2,1,1,客家、闽,multi_family
3975,客家、闽,2,2,1,1,客家、闽,multi_family
3976,客家、闽,2,2,1,1,客家、闽,multi_family
3979,客家、闽,2,2,1,1,客家、闽,multi_family
3981,客家、闽·潮汕话,2,2,26,2,"客家、闽,闽·潮汕话",bare_and_detail_mixed_keep_as_is | multi_family
5310,粤、客家,2,2,1,1,粤、客家,multi_family
5313,粤、客家,2,2,1,1,粤、客家,multi_family
5318,粤、客家,2,2,1,1,粤、客家,multi_family
5422,粤、客家,2,2,1,1,粤、客家,multi_family
5430,粤、客家,2,2,1,1,粤、客家,multi_family
5436,粤、客家,2,2,1,1,粤、客家,multi_family
5437,粤、客家,2,2,1,1,粤、客家,multi_family
5438,粤、客家,2,2,2,1,粤、客家,multi_family
5439,粤、客家,2,2,1,1,粤、客家,multi_family
5443,粤、客家,2,2,1,1,粤、客家,multi_family
5444,粤、客家,2,2,1,1,粤、客家,multi_family
5447,粤、客家,2,2,1,1,粤、客家,multi_family
5448,粤、客家,2,2,1,1,粤、客家,multi_family
5601,粤、客家,2,2,1,1,粤、客家,multi_family
5604,粤、客家,2,2,1,1,粤、客家,multi_family
5605,粤、客家,2,2,1,1,粤、客家,multi_family
5606,粤、客家,2,2,2,1,粤、客家,multi_family
5617,粤、客家,2,2,1,1,粤、客家,multi_family
5623,粤、客家,2,2,1,1,粤、客家,multi_family
5627,粤、客家,2,2,1,1,粤、客家,multi_family
5633,粤、客家,2,2,1,1,粤、客家,multi_family
5635,粤、客家,2,2,1,1,粤、客家,multi_family
5637,粤、客家,2,2,1,1,粤、客家,multi_family
5638,粤、客家,2,2,1,1,粤、客家,multi_family
5641,粤、客家,2,2,1,1,粤、客家,multi_family
5642,粤、客家,2,2,1,1,粤、客家,multi_family
5644,粤、客家,2,2,1,1,粤、客家,multi_family
5646,粤、客家,2,2,1,1,粤、客家,multi_family
5669,粤、客家,2,2,1,1,粤、客家,multi_family
5670,粤、客家,2,2,1,1,粤、客家,multi_family
5671,粤、客家,2,2,1,1,粤、客家,multi_family
5672,粤、客家,2,2,1,1,粤、客家,multi_family
5673,粤、客家,2,2,1,1,粤、客家,multi_family
5674,粤、客家,2,2,1,1,粤、客家,multi_family
5675,粤、客家,2,2,1,1,粤、客家,multi_family
5676,粤、客家,2,2,1,1,粤、客家,multi_family
5682,粤、客家,2,2,1,1,粤、客家,multi_family
5873,粤、客家,2,2,1,1,粤、客家,multi_family
5875,粤、客家,2,2,1,1,粤、客家,multi_family
5878,粤、客家,2,2,1,1,粤、客家,multi_family
5879,粤、客家,2,2,1,1,粤、客家,multi_family
5954,粤、客家,2,2,1,1,粤、客家,multi_family
5986,粤、客家,2,2,1,1,粤、客家,multi_family
5988,粤、客家,2,2,1,1,粤、客家,multi_family
5989,粤、客家,2,2,1,1,粤、客家,multi_family
5992,粤、客家,2,2,1,1,粤、客家,multi_family
5994,粤、客家,2,2,2,1,粤、客家,multi_family
5995,粤、客家,2,2,1,1,粤、客家,multi_family
6049,粤、客家,2,2,1,1,粤、客家,multi_family
6086,粤、客家,2,2,1,1,粤、客家,multi_family
6091,粤、客家,2,2,1,1,粤、客家,multi_family
6190,粤、客家,2,2,1,1,粤、客家,multi_family
6434,粤、客家,2,2,1,1,粤、客家,multi_family
6435,粤、客家,2,2,1,1,粤、客家,multi_family
6438,粤、客家,2,2,1,1,粤、客家,multi_family
6439,粤、客家,2,2,1,1,粤、客家,multi_family
6440,粤、客家,2,2,1,1,粤、客家,multi_family
6442,粤、客家,2,2,1,1,粤、客家,multi_family
6459,粤、客家,2,2,1,1,粤、客家,multi_family
6464,粤、客家,2,2,1,1,粤、客家,multi_family
6465,粤、客家,2,2,1,1,粤、客家,multi_family
6466,粤、客家,2,2,1,1,粤、客家,multi_family
6471,粤、客家,2,2,1,1,粤、客家,multi_family
6473,粤、客家,2,2,1,1,粤、客家,multi_family
6485,粤、客家,2,2,1,1,粤、客家,multi_family
6657,粤、客家,2,2,1,1,粤、客家,multi_family
6658,粤、客家,2,2,1,1,粤、客家,multi_family
6660,粤、客家,2,2,1,1,粤、客家,multi_family
6661,粤、客家,2,2,1,1,粤、客家,multi_family
6665,粤、客家,2,2,1,1,粤、客家,multi_family
6670,粤、客家,2,2,1,1,粤、客家,multi_family
6671,粤、客家,2,2,1,1,粤、客家,multi_family
6675,粤、客家,2,2,1,1,粤、客家,multi_family
6677,粤、客家,2,2,1,1,粤、客家,multi_family
6678,粤、客家,2,2,1,1,粤、客家,multi_family
6685,粤、客家,2,2,1,1,粤、客家,multi_family
6687,粤、客家,2,2,1,1,粤、客家,multi_family
6689,粤、客家,2,2,1,1,粤、客家,multi_family
6691,粤、客家,2,2,1,1,粤、客家,multi_family
6694,粤、客家,2,2,1,1,粤、客家,multi_family
6702,粤、客家,2,2,1,1,粤、客家,multi_family
6705,粤、客家,2,2,1,1,粤、客家,multi_family
6709,粤、客家,2,2,1,1,粤、客家,multi_family
6712,粤、客家,2,2,1,1,粤、客家,multi_family
6713,粤、客家,2,2,1,1,粤、客家,multi_family
6728,粤、客家,2,2,1,1,粤、客家,multi_family
6730,粤、客家,2,2,5,1,粤、客家,multi_family
6732,粤、客家,2,2,1,1,粤、客家,multi_family
6737,粤、客家,2,2,1,1,粤、客家,multi_family
6738,粤、客家,2,2,1,1,粤、客家,multi_family
6743,粤、客家,2,2,2,1,粤、客家,multi_family
6749,粤·东莞清溪话、客家,2,2,2,2,"粤·东莞清溪话,粤、客家",bare_and_detail_mixed_keep_as_is | multi_family
6757,粤、客家,2,2,1,1,粤、客家,multi_family
6759,粤、客家,2,2,1,1,粤、客家,multi_family
6761,粤、客家,2,2,1,1,粤、客家,multi_family
6765,粤、客家,2,2,1,1,粤、客家,multi_family
6767,粤、客家,2,2,1,1,粤、客家,multi_family
6768,粤、客家,2,2,1,1,粤、客家,multi_family
6770,粤、客家,2,2,1,1,粤、客家,multi_family
6773,粤、客家,2,2,1,1,粤、客家,multi_family
6774,粤、客家,2,2,1,1,粤、客家,multi_family
6778,粤、客家,2,2,1,1,粤、客家,multi_family
6779,粤、客家,2,2,1,1,粤、客家,multi_family
6781,粤、客家,2,2,1,1,粤、客家,multi_family
6784,粤、客家,2,2,1,1,粤、客家,multi_family
6785,粤、客家,2,2,1,1,粤、客家,multi_family
6790,粤、客家,2,2,1,1,粤、客家,multi_family
6804,粤、客家,2,2,1,1,粤、客家,multi_family
6808,粤、客家,2,2,1,1,粤、客家,multi_family
6810,粤、客家,2,2,1,1,粤、客家,multi_family
6811,粤、客家,2,2,1,1,粤、客家,multi_family
6812,粤、客家,2,2,1,1,粤、客家,multi_family
6814,粤、客家,2,2,1,1,粤、客家,multi_family
7233,粤、客家,2,2,1,1,粤、客家,multi_family
7257,粤、客家,2,2,1,1,粤、客家,multi_family
7261,粤、客家,2,2,1,1,粤、客家,multi_family
7263,粤、客家,2,2,1,1,粤、客家,multi_family
7324,粤、客家、闽,3,3,2,2,"粤、客家、闽,粤",multi_family | multi_component
7345,粤、客家,2,2,1,1,粤、客家,multi_family
7591,粤、客家,2,2,1,1,粤、客家,multi_family
7593,粤、客家,2,2,1,1,粤、客家,multi_family
7594,粤、客家,2,2,1,1,粤、客家,multi_family
7595,粤、客家,2,2,1,1,粤、客家,multi_family
7610,粤、客家,2,2,1,1,粤、客家,multi_family
7614,粤、客家,2,2,1,1,粤、客家,multi_family
7615,粤、客家,2,2,1,1,粤、客家,multi_family
7619,粤、客家,2,2,1,1,粤、客家,multi_family
7621,粤、客家,2,2,1,1,粤、客家,multi_family
7623,粤、客家,2,2,1,1,粤、客家,multi_family
7625,粤、客家,2,2,1,1,粤、客家,multi_family
7628,粤、客家,2,2,7,1,粤、客家,multi_family
7629,粤、客家,2,2,1,1,粤、客家,multi_family
7631,粤、客家,2,2,1,1,粤、客家,multi_family
7632,粤、客家,2,2,1,1,粤、客家,multi_family
7633,粤、客家,2,2,1,1,粤、客家,multi_family
7634,粤、客家,2,2,1,1,粤、客家,multi_family
7637,粤、客家,2,2,1,1,粤、客家,multi_family
7638,粤、客家,2,2,1,1,粤、客家,multi_family
7639,粤、客家,2,2,1,1,粤、客家,multi_family
7641,粤、客家,2,2,1,1,粤、客家,multi_family
7642,粤、客家,2,2,1,1,粤、客家,multi_family
7644,粤、客家,2,2,1,1,粤、客家,multi_family
7645,粤、客家,2,2,1,1,粤、客家,multi_family
7652,粤、客家,2,2,1,1,粤、客家,multi_family
13407,粤、客家,2,2,10,2,"粤,粤、客家",multi_family
13691,粤、客家,2,2,2,2,"粤、客家,粤",multi_family
13712,粤、客家,2,2,1,1,粤、客家,multi_family
13719,粤、客家,2,2,1,1,粤、客家,multi_family
13731,粤、客家,2,2,1,1,粤、客家,multi_family
14600,粤、客家,2,2,1,1,粤、客家,multi_family
14816,粤、客家,2,2,14,3,"粤,粤、客家,客家",multi_family
14862,粤、客家,2,2,1,1,粤、客家,multi_family
15019,粤、客家,2,2,1,1,粤、客家,multi_family
15093,粤、客家,2,2,1,1,粤、客家,multi_family
15730,粤、客家,2,2,1,1,粤、客家,multi_family
15975,粤、客家,2,2,1,1,粤、客家,multi_family
15979,粤、客家,2,2,1,1,粤、客家,multi_family
15993,粤、客家,2,2,1,1,粤、客家,multi_family
16017,粤、客家,2,2,1,1,粤、客家,multi_family
16031,客家、粤,2,2,6,2,"客家,粤",multi_family
16098,粤、客家,2,2,1,1,粤、客家,multi_family
16186,粤、客家,2,2,1,1,粤、客家,multi_family
16269,粤、客家,2,2,1,1,粤、客家,multi_family
18533,粤、客家,2,2,3,2,"粤,粤、客家",multi_family
19040,粤、客家,2,2,11,2,"粤,粤、客家",multi_family
41552,客家、闽,2,2,16,2,"客家,闽",multi_family
48651,客家、少数民族·畲话,2,2,172,2,"客家,少数民族·畲话",bare_and_detail_mixed_keep_as_is | multi_family
50413,客家、官话,2,2,1,1,客家、官话,multi_family
51291,粤、客家,2,2,1,1,粤、客家,multi_family
51299,粤、客家,2,2,1,1,粤、客家,multi_family
51300,粤、客家,2,2,1,1,粤、客家,multi_family
51301,粤、客家,2,2,1,1,粤、客家,multi_family
51344,粤、客家,2,2,1,1,粤、客家,multi_family
51573,闽、客家,2,2,2,2,"闽,客家、闽",multi_family
51737,客家、闽,2,2,2,2,"客家、闽,客家",multi_family
52921,客家、闽,2,2,6,2,"客家、闽,客家",multi_family
53264,粤、官话,2,2,1,1,粤、官话,multi_family
53303,粤、客家,2,2,1,1,粤、客家,multi_family
53308,粤、客家,2,2,1,1,粤、客家,multi_family
53505,客家、闽,2,2,3,2,"客家,客家、闽",multi_family
53516,客家、少数民族,2,2,1,1,客家、少数民族,multi_family
54678,客家、少数民族,2,2,1,1,客家、少数民族,multi_family
54685,客家、少数民族,2,2,1,1,客家、少数民族,multi_family
54686,客家、少数民族,2,2,1,1,客家、少数民族,multi_family
54687,客家、少数民族,2,2,1,1,客家、少数民族,multi_family
54698,客家、少数民族,2,2,1,1,客家、少数民族,multi_family
54699,客家、少数民族,2,2,1,1,客家、少数民族,multi_family
54706,客家、少数民族,2,2,1,1,客家、少数民族,multi_family
56134,客家、少数民族,2,2,1,1,客家、少数民族,multi_family
56135,客家、少数民族,2,2,1,1,客家、少数民族,multi_family
58663,客家、闽,2,2,1,1,客家、闽,multi_family
58672,客家、闽,2,2,1,1,客家、闽,multi_family
58675,客家、闽,2,2,1,1,客家、闽,multi_family
58679,闽、客家,2,2,7,3,"闽,客家,客家、闽",multi_family
58744,客家、闽,2,2,1,1,客家、闽,multi_family
58804,客家、闽,2,2,8,3,"客家,客家、闽,闽",multi_family
59545,闽、客家,2,2,4,3,"闽,客家,客家、闽",multi_family
59546,客家、闽、粤,3,3,39,5,",客家、闽,闽,客家,粤",multi_family | multi_component
59571,客家、闽,2,2,4,3,",客家、闽,客家",multi_family
59573,客家、闽,2,2,7,3,",客家,闽",multi_family
59626,客家、闽,2,2,20,3,"客家,,闽",multi_family
60140,客家、闽,2,2,1,1,客家、闽,multi_family
60187,客家、粤,2,2,2,2,"客家,粤、客家",multi_family
60559,客家、闽,2,2,1,1,客家、闽,multi_family
60562,客家、闽,2,2,1,1,客家、闽,multi_family
60592,客家、闽,2,2,1,1,客家、闽,multi_family
60596,客家、闽,2,2,1,1,客家、闽,multi_family
60620,客家、闽,2,2,1,1,客家、闽,multi_family
60661,客家、闽,2,2,1,1,客家、闽,multi_family
60717,粤、闽,2,2,1,1,粤、闽,multi_family
60738,客家、闽,2,2,1,1,客家、闽,multi_family
60739,客家、闽,2,2,7,3,"客家,,闽",multi_family
61716,客家、闽,2,2,1,1,客家、闽,multi_family
61721,客家、闽,2,2,1,1,客家、闽,multi_family
61723,客家、闽,2,2,1,1,客家、闽,multi_family
61747,客家、闽,2,2,1,1,客家、闽,multi_family
61854,客家、闽,2,2,1,1,客家、闽,multi_family
62675,客家、闽,2,2,1,1,客家、闽,multi_family
62680,客家、闽,2,2,1,1,客家、闽,multi_family
62686,客家、闽,2,2,1,1,客家、闽,multi_family
62741,客家、闽,2,2,1,1,客家、闽,multi_family
63253,粤、客家,2,2,1,1,粤、客家,multi_family
63480,粤、客家,2,2,1,1,粤、客家,multi_family
63664,粤、客家,2,2,1,1,粤、客家,multi_family
63733,客家、粤,2,2,2,2,"客家,粤、客家",multi_family
64192,客家、粤,2,2,8,3,"客家,粤,粤、客家",multi_family
64250,客家、粤,2,2,2,2,"客家,粤",multi_family
64298,粤、客家,2,2,1,1,粤、客家,multi_family
64543,粤、客家,2,2,1,1,粤、客家,multi_family
64649,粤、客家,2,2,11,2,"粤,客家",multi_family
64710,粤、客家,2,2,1,1,粤、客家,multi_family
64724,粤、客家,2,2,1,1,粤、客家,multi_family
64736,客家、粤·龙门话,2,2,5,4,"客家,粤·龙门话,粤、客家,粤",bare_and_detail_mixed_keep_as_is | multi_family
64803,粤、客家,2,2,1,1,粤、客家,multi_family
65074,粤、客家,2,2,1,1,粤、客家,multi_family
65105,粤、客家,2,2,1,1,粤、客家,multi_family
65107,粤、客家,2,2,1,1,粤、客家,multi_family
65196,粤、客家,2,2,1,1,粤、客家,multi_family
65239,客家、少数民族·蓝田话、粤,3,3,22,3,"客家,少数民族·蓝田话,粤、客家",bare_and_detail_mixed_keep_as_is | multi_family | multi_component
66045,粤、客家,2,2,1,1,粤、客家,multi_family
66047,粤、客家,2,2,1,1,粤、客家,multi_family
66085,粤、客家,2,2,1,1,粤、客家,multi_family
66087,粤、客家,2,2,1,1,粤、客家,multi_family
66161,粤、客家,2,2,2,1,粤、客家,multi_family
66163,粤、客家,2,2,1,1,粤、客家,multi_family
66631,粤、客家,2,2,1,1,粤、客家,multi_family
67018,粤、客家,2,2,1,1,粤、客家,multi_family
67026,粤、客家,2,2,1,1,粤、客家,multi_family
67027,粤、客家,2,2,1,1,粤、客家,multi_family
67033,粤、客家,2,2,1,1,粤、客家,multi_family
67631,粤、客家,2,2,1,1,粤、客家,multi_family
67657,粤、客家,2,2,1,1,粤、客家,multi_family
67658,粤、客家,2,2,1,1,粤、客家,multi_family
67767,粤、客家,2,2,1,1,粤、客家,multi_family
67811,粤、客家,2,2,1,1,粤、客家,multi_family
68481,粤、客家,2,2,1,1,粤、客家,multi_family
69435,粤、客家,2,2,1,1,粤、客家,multi_family
69445,粤、客家,2,2,1,1,粤、客家,multi_family
69450,粤、客家,2,2,1,1,粤、客家,multi_family
69451,粤、客家,2,2,1,1,粤、客家,multi_family
71192,粤、客家,2,2,1,1,粤、客家,multi_family
71211,粤、客家,2,2,1,1,粤、客家,multi_family
71218,粤、客家,2,2,1,1,粤、客家,multi_family
71226,粤、客家,2,2,1,1,粤、客家,multi_family
71234,粤、客家,2,2,1,1,粤、客家,multi_family
71356,粤、客家,2,2,1,1,粤、客家,multi_family
71361,粤、客家,2,2,1,1,粤、客家,multi_family
71368,粤、客家,2,2,1,1,粤、客家,multi_family
71482,粤、客家,2,2,1,1,粤、客家,multi_family
75831,粤·台山话、客家,2,2,9,3,",粤·台山话,粤、客家",bare_and_detail_mixed_keep_as_is | multi_family
77261,粤、客家,2,2,1,1,粤、客家,multi_family
77266,粤·台山话、少数民族·瑶语,2,2,1,1,粤·台山话、少数民族·瑶语,multi_family
77268,粤、客家,2,2,1,1,粤、客家,multi_family
77271,粤、客家,2,2,1,1,粤、客家,multi_family
77275,粤、客家,2,2,1,1,粤、客家,multi_family
77392,粤·普通话、官话·台山话,2,2,1,1,粤·普通话、官话·台山话,multi_family
78035,粤、闽,2,2,1,1,粤、闽,multi_family
78042,粤、闽,2,2,1,1,粤、闽,multi_family
78074,粤、客家,2,2,1,1,粤、客家,multi_family
78082,粤、客家,2,2,1,1,粤、客家,multi_family
78100,粤、客家,2,2,1,1,粤、客家,multi_family
78101,粤、客家,2,2,1,1,粤、客家,multi_family
78124,粤、客家,2,2,1,1,粤、客家,multi_family
78125,粤、客家,2,2,1,1,粤、客家,multi_family
78126,粤、客家,2,2,1,1,粤、客家,multi_family
78128,粤、客家,2,2,1,1,粤、客家,multi_family
78130,粤、客家,2,2,1,1,粤、客家,multi_family
78143,粤、客家,2,2,1,1,粤、客家,multi_family
78151,粤、客家,2,2,1,1,粤、客家,multi_family
78170,粤、客家,2,2,1,1,粤、客家,multi_family
78179,粤、客家,2,2,1,1,粤、客家,multi_family
78189,粤、客家,2,2,1,1,粤、客家,multi_family
78192,粤、客家,2,2,1,1,粤、客家,multi_family
78197,粤、客家,2,2,1,1,粤、客家,multi_family
78201,粤、客家,2,2,1,1,粤、客家,multi_family
78210,粤、客家,2,2,1,1,粤、客家,multi_family
78212,粤、客家,2,2,1,1,粤、客家,multi_family
78217,粤、客家,2,2,1,1,粤、客家,multi_family
78218,粤、客家,2,2,1,1,粤、客家,multi_family
78431,粤、客家,2,2,1,1,粤、客家,multi_family
91747,粤、闽,2,2,1,1,粤、闽,multi_family
91748,粤、闽,2,2,1,1,粤、闽,multi_family
91750,粤、闽,2,2,1,1,粤、闽,multi_family
91760,粤、闽,2,2,1,1,粤、闽,multi_family
92860,粤、闽,2,2,1,1,粤、闽,multi_family
92864,粤、客家,2,2,1,1,粤、客家,multi_family
92867,客家、闽,2,2,1,1,客家、闽,multi_family
92868,粤、客家,2,2,1,1,粤、客家,multi_family
92940,粤、闽,2,2,2,1,粤、闽,multi_family
92942,客家、闽,2,2,1,1,客家、闽,multi_family
92950,客家、闽,2,2,1,1,客家、闽,multi_family
92963,粤、闽,2,2,1,1,粤、闽,multi_family
93067,粤、闽,2,2,1,1,粤、闽,multi_family
93683,粤、客家,2,2,1,1,粤、客家,multi_family
93690,客家、闽,2,2,1,1,客家、闽,multi_family
93708,客家·电白海话、闽·涯话,2,2,1,1,客家·电白海话、闽·涯话,multi_family
93851,粤、客家,2,2,1,1,粤、客家,multi_family
93944,粤、闽,2,2,1,1,粤、闽,multi_family
93955,粤、客家,2,2,1,1,粤、客家,multi_family
93957,客家·电白黎话、闽·涯话,2,2,1,1,客家·电白黎话、闽·涯话,multi_family
93958,客家·电白黎话、闽·涯话,2,2,1,1,客家·电白黎话、闽·涯话,multi_family
93979,客家·涯话、客家·电白黎话、闽·涯话,3,2,4,2,"客家·涯话,客家·电白黎话、闽·涯话",multi_family | multi_component
94007,客家·电白海话、闽·涯话,2,2,1,1,客家·电白海话、闽·涯话,multi_family
94023,粤·电白海话、闽·阳江话,2,2,1,1,粤·电白海话、闽·阳江话,multi_family
94026,客家·电白海话、闽·涯话,2,2,1,1,客家·电白海话、闽·涯话,multi_family
94089,粤、客家,2,2,1,1,粤、客家,multi_family
94252,粤、客家,2,2,1,1,粤、客家,multi_family
94262,粤、客家,2,2,1,1,粤、客家,multi_family
94336,粤、客家,2,2,1,1,粤、客家,multi_family
94349,粤、客家,2,2,1,1,粤、客家,multi_family
94352,粤、客家,2,2,1,1,粤、客家,multi_family
94366,粤、客家,2,2,1,1,粤、客家,multi_family
94368,粤、客家,2,2,1,1,粤、客家,multi_family
94369,粤、客家,2,2,1,1,粤、客家,multi_family
94370,粤、客家,2,2,1,1,粤、客家,multi_family
94372,粤、客家,2,2,1,1,粤、客家,multi_family
94373,粤、客家,2,2,1,1,粤、客家,multi_family
94374,粤、客家,2,2,1,1,粤、客家,multi_family
94528,粤、客家,2,2,1,1,粤、客家,multi_family
94672,闽·电白黎话、粤,2,2,3,2,"闽·电白黎话,粤、闽",bare_and_detail_mixed_keep_as_is | multi_family
94835,粤、闽,2,2,1,1,粤、闽,multi_family
94906,粤、闽,2,2,1,1,粤、闽,multi_family
94908,粤、闽,2,2,1,1,粤、闽,multi_family
94911,粤、闽,2,2,1,1,粤、闽,multi_family
94913,粤、闽,2,2,1,1,粤、闽,multi_family
94915,粤、闽,2,2,1,1,粤、闽,multi_family
94917,粤、闽,2,2,1,1,粤、闽,multi_family
94918,粤、闽,2,2,1,1,粤、闽,multi_family
94919,粤、闽,2,2,1,1,粤、闽,multi_family
95087,粤、闽,2,2,1,1,粤、闽,multi_family
95181,闽·电白黎话、粤,2,2,2,2,"闽·电白黎话,粤",bare_and_detail_mixed_keep_as_is | multi_family
95329,粤、客家,2,2,1,1,粤、客家,multi_family
95704,粤、闽,2,2,1,1,粤、闽,multi_family
95709,客家、闽,2,2,1,1,客家、闽,multi_family
95744,粤、闽,2,2,1,1,粤、闽,multi_family
95765,粤、闽,2,2,1,1,粤、闽,multi_family
95848,客家·电白海话、闽·涯话,2,2,1,1,客家·电白海话、闽·涯话,multi_family
96241,粤、客家,2,2,1,1,粤、客家,multi_family
96336,粤、客家,2,2,1,1,粤、客家,multi_family
96467,粤、客家,2,2,1,1,粤、客家,multi_family
96569,粤、闽,2,2,1,1,粤、闽,multi_family
96571,粤、闽,2,2,1,1,粤、闽,multi_family
96686,粤、闽·电白黎话,2,2,4,2,"粤,闽·电白黎话",bare_and_detail_mixed_keep_as_is | multi_family
99179,粤、客家,2,2,1,1,粤、客家,multi_family
99180,粤、客家,2,2,1,1,粤、客家,multi_family
99242,粤、客家,2,2,1,1,粤、客家,multi_family
100129,粤、客家,2,2,1,1,粤、客家,multi_family
101244,客家、粤,2,2,3,2,"客家,粤",multi_family
103842,粤、使用方言（广府民系方言）,2,2,2,2,"粤,使用方言（广府民系方言）",multi_family
105330,粤、客家,2,2,1,1,粤、客家,multi_family
105332,粤、客家,2,2,1,1,粤、客家,multi_family
105333,粤、客家,2,2,1,1,粤、客家,multi_family
105350,粤、客家,2,2,1,1,粤、客家,multi_family
105352,粤、客家,2,2,1,1,粤、客家,multi_family
105353,粤、客家,2,2,1,1,粤、客家,multi_family
105354,粤、客家,2,2,1,1,粤、客家,multi_family
105357,粤、客家,2,2,1,1,粤、客家,multi_family
105359,粤、客家,2,2,1,1,粤、客家,multi_family
105360,粤、客家,2,2,1,1,粤、客家,multi_family
105362,粤、客家,2,2,1,1,粤、客家,multi_family
105363,粤、客家,2,2,1,1,粤、客家,multi_family
105365,粤、客家,2,2,1,1,粤、客家,multi_family
105366,粤、客家,2,2,1,1,粤、客家,multi_family
105367,粤、客家,2,2,1,1,粤、客家,multi_family
105368,粤、客家,2,2,1,1,粤、客家,multi_family
105370,粤、客家,2,2,1,1,粤、客家,multi_family
105371,粤、客家,2,2,1,1,粤、客家,multi_family
105373,粤、客家,2,2,1,1,粤、客家,multi_family
105513,粤、客家,2,2,1,1,粤、客家,multi_family
105517,粤、客家,2,2,1,1,粤、客家,multi_family
105520,粤、客家,2,2,1,1,粤、客家,multi_family
105523,粤、客家,2,2,1,1,粤、客家,multi_family
105525,粤、客家,2,2,1,1,粤、客家,multi_family
105528,粤、客家,2,2,1,1,粤、客家,multi_family
105529,粤、客家,2,2,1,1,粤、客家,multi_family
105530,粤、客家,2,2,1,1,粤、客家,multi_family
105534,粤、客家,2,2,1,1,粤、客家,multi_family
105535,粤、客家,2,2,1,1,粤、客家,multi_family
105536,粤、客家,2,2,1,1,粤、客家,multi_family
105539,粤、客家,2,2,1,1,粤、客家,multi_family
105728,客家、粤,2,2,16,2,"客家,粤、客家",multi_family
105732,粤、客家,2,2,1,1,粤、客家,multi_family
105736,粤、客家,2,2,1,1,粤、客家,multi_family
105738,粤、客家,2,2,1,1,粤、客家,multi_family
105773,粤、客家,2,2,2,1,粤、客家,multi_family
105775,粤、客家,2,2,1,1,粤、客家,multi_family
105781,粤、客家,2,2,1,1,粤、客家,multi_family
105783,粤、客家,2,2,1,1,粤、客家,multi_family
105799,客家、粤,2,2,2,2,"客家,粤",multi_family
105966,粤、客家,2,2,1,1,粤、客家,multi_family
105976,粤、客家,2,2,1,1,粤、客家,multi_family
105987,粤、客家,2,2,1,1,粤、客家,multi_family
107824,客家、粤,2,2,2,2,"客家,粤",multi_family
108450,粤、客家,2,2,1,1,粤、客家,multi_family
110291,粤、客家,2,2,27,2,"粤,客家",multi_family
110438,粤、客家,2,2,1,1,粤、客家,multi_family
110518,粤、客家,2,2,1,1,粤、客家,multi_family
110519,粤、客家,2,2,1,1,粤、客家,multi_family
110527,粤、客家,2,2,27,2,"粤、客家,粤",multi_family
