matched_db_rowid,final_write_value_by_rowid,component_count,family_count,source_rows,source_value_count,source_values,reason
234,客家、闽,2,2,1,1,客家、闽,multi_family
278,客家、闽,2,2,1,1,客家、闽,multi_family
291,客家、闽,2,2,1,1,客家、闽,multi_family
301,客家、闽,2,2,1,1,客家、闽,multi_family
303,客家、闽,2,2,1,1,客家、闽,multi_family
305,客家、闽,2,2,1,1,客家、闽,multi_family
306,客家、闽,2,2,1,1,客家、闽,multi_family
319,客家、闽,2,2,1,1,客家、闽,multi_family
320,客家、闽,2,2,1,1,客家、闽,multi_family
321,客家、闽,2,2,1,1,客家、闽,multi_family
323,客家、闽,2,2,1,1,客家、闽,multi_family
324,客家、闽,2,2,1,1,客家、闽,multi_family
328,客家、闽,2,2,1,1,客家、闽,multi_family
330,客家、闽,2,2,1,1,客家、闽,multi_family
333,客家、闽,2,2,1,1,客家、闽,multi_family
334,客家、闽,2,2,1,1,客家、闽,multi_family
343,客家、闽,2,2,1,1,客家、闽,multi_family
344,客家、闽,2,2,1,1,客家、闽,multi_family
359,客家、闽,2,2,1,1,客家、闽,multi_family
607,客家、闽·潮汕话,2,2,10,2,"客家、闽,闽·潮汕话",bare_and_detail_mixed_keep_as_is | multi_family
1386,客家、闽,2,2,1,1,客家、闽,multi_family
1423,客家、闽,2,2,1,1,客家、闽,multi_family
1608,闽·潮汕话、客家,2,2,44,2,"闽·潮汕话,客家、闽",bare_and_detail_mixed_keep_as_is | multi_family
2236,闽·潮汕话、客家,2,2,13,2,"闽·潮汕话,客家、闽",bare_and_detail_mixed_keep_as_is | multi_family
2631,客家、闽,2,2,1,1,客家、闽,multi_family
2635,客家、闽,2,2,1,1,客家、闽,multi_family
2636,客家、闽,2,2,1,1,客家、闽,multi_family
2638,客家、闽,2,2,1,1,客家、闽,multi_family
3761,客家、闽,2,2,1,1,客家、闽,multi_family
3763,客家、闽,2,2,1,1,客家、闽,multi_family
3764,客家、闽,2,2,1,1,客家、闽,multi_family
3765,客家、闽,2,2,1,1,客家、闽,multi_family
3884,客家、闽,2,2,1,1,客家、闽,multi_family
3955,客家、闽,2,2,1,1,客家、闽,multi_family
3956,客家、闽,2,2,1,1,客家、闽,multi_family
